d:\2d\2dproj\2d_gamedev\src\game.c:21: ---==== BEGIN ====---
d:\2d\2dproj\2d_gamedev\src\gf2d_graphics.c:132: graphics initialized
d:\2d\2dproj\2d_gamedev\src\gf2d_sprite.c:44: sprite system initialized
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 0.804505 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 62.500000 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 62.500000 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 62.500000 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 52.631580 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 62.500000 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 62.500000 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 62.500000 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 62.500000 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 62.500000 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 62.500000 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 55.555557 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
d:\2d\2dproj\2d_gamedev\src\game.c:66: Rendering at 58.823528 FPS
